City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Erzin,TR,2022-06-04 03:19:26,36.9559,36.2,66.27,88,10,0.49
223,Otradnoye,RU,2022-06-04 03:16:22,59.7775,30.8181,52.95,94,54,6.55
224,Tarsus,TR,2022-06-04 03:19:27,36.9188,34.8784,70.18,91,14,4.16
225,Lokosovo,RU,2022-06-04 03:19:27,61.1333,74.8167,34.65,97,100,14.52
226,Loviisa,FI,2022-06-04 03:19:28,60.4566,26.2251,50.29,93,100,8.34
227,Eureka,US,2022-06-04 03:15:25,40.8021,-124.1637,61.66,83,100,1.01
228,Kavieng,PG,2022-06-04 03:19:28,-2.5744,150.7967,84.25,64,26,11.74
229,Brovary,UA,2022-06-04 03:20:29,50.5,30.7667,57.88,100,0,2.98
230,Novyy Urgal,RU,2022-06-04 03:20:29,51.0736,132.5642,63.68,43,14,2.13
231,Ostrovnoy,RU,2022-06-04 03:20:30,68.0531,39.5131,45.52,62,96,21.21
232,Merrill,US,2022-06-04 03:18:05,45.1805,-89.6835,52.52,67,0,3.44
233,Cabo San Lucas,MX,2022-06-04 03:20:31,22.8909,-109.9124,81.7,69,0,5.01
234,Dikson,RU,2022-06-04 03:20:31,73.5069,80.5464,27.19,79,17,16.89
235,Iquitos,PE,2022-06-04 03:19:39,-3.7481,-73.2472,77.04,94,75,1.14
236,San Patricio,US,2022-06-04 03:20:33,28.017,-97.5169,82.89,80,51,7.63
237,Zlotow,PL,2022-06-04 03:20:34,53.3635,17.0408,50.94,84,90,6.08
238,Te Anau,NZ,2022-06-04 03:20:34,-45.4167,167.7167,48.9,65,89,0.49
239,Nara,JP,2022-06-04 03:20:35,34.6851,135.8049,81.5,29,33,5.95
240,Sao Luis,BR,2022-06-04 03:20:35,-2.5297,-44.3028,77.2,94,40,3.44
241,Paamiut,GL,2022-06-04 03:20:36,61.994,-49.6678,41.47,59,2,8.21
242,Nanortalik,GL,2022-06-04 03:20:37,60.1432,-45.2371,42.06,60,100,2.17
243,Keetmanshoop,NA,2022-06-04 03:20:37,-26.5833,18.1333,53.15,35,0,8.7
244,Wilmington,US,2022-06-04 03:16:08,34.2257,-77.9447,69.89,92,75,1.01
245,Skjervoy,NO,2022-06-04 03:20:39,70.0311,20.9714,50.0,98,100,7.38
246,Auxerre,FR,2022-06-04 03:20:39,47.8,3.5667,60.64,94,100,4.68
247,Okhotsk,RU,2022-06-04 03:20:40,59.3833,143.3,48.79,75,51,8.03
248,Waingapu,ID,2022-06-04 03:20:40,-9.6567,120.2641,86.29,64,89,6.76
249,Farkhor,TJ,2022-06-04 03:20:41,37.4922,69.4036,77.97,20,44,1.28
250,Seoul,KR,2022-06-04 03:18:17,37.5683,126.9778,81.79,47,0,3.44
251,Inhambane,MZ,2022-06-04 03:20:42,-23.865,35.3833,66.4,86,14,7.18
252,Constitucion,CL,2022-06-04 03:18:13,-35.3333,-72.4167,53.76,88,100,13.94
253,Lebu,CL,2022-06-04 03:17:52,-37.6167,-73.65,53.08,95,100,11.03
254,Litovko,RU,2022-06-04 03:20:43,49.2361,135.1742,59.99,55,28,12.28
255,Comodoro Rivadavia,AR,2022-06-04 03:19:12,-45.8667,-67.5,39.06,56,0,3.44
256,Castro,BR,2022-06-04 03:20:43,-24.7911,-50.0119,49.6,92,96,7.61
257,Roebourne,AU,2022-06-04 03:20:44,-20.7833,117.1333,71.82,42,44,15.66
258,Lahij,YE,2022-06-04 03:20:45,13.1667,44.5833,78.55,76,86,5.55
259,Tandil,AR,2022-06-04 03:20:45,-37.3217,-59.1332,40.68,67,100,11.03
260,Quatre Cocos,MU,2022-06-04 03:20:46,-20.2078,57.7625,73.51,76,81,21.47
261,Mahebourg,MU,2022-06-04 03:20:46,-20.4081,57.7,73.69,78,75,12.66
262,Thompson,CA,2022-06-04 03:20:47,55.7435,-97.8558,39.36,100,100,6.91
263,Miri,MY,2022-06-04 03:20:49,4.4148,114.0089,87.94,74,40,3.44
264,Madimba,TZ,2022-06-04 03:20:49,-10.4,40.3333,68.4,91,10,10.63
265,Lompoc,US,2022-06-04 03:20:50,34.6391,-120.4579,65.01,89,75,21.99
266,Matara,LK,2022-06-04 03:20:50,5.9485,80.5353,80.49,84,100,12.26
267,Mao,ES,2022-06-04 03:20:51,39.8885,4.2658,70.36,88,20,5.75
268,Boa Vista,BR,2022-06-04 03:20:51,2.8197,-60.6733,80.58,74,40,4.61
269,Doboj,BA,2022-06-04 03:20:52,44.7347,18.0878,66.31,93,100,2.33
270,Novo Mesto,SI,2022-06-04 03:20:00,45.804,15.1689,64.06,94,34,3.6
271,Mattru,SL,2022-06-04 03:20:53,7.6244,-11.8332,73.35,97,100,3.09
272,Padang,ID,2022-06-04 03:20:53,-0.9492,100.3543,86.05,58,27,1.41
273,Cidreira,BR,2022-06-04 03:20:54,-30.1811,-50.2056,59.63,65,98,12.37
274,Cayenne,GF,2022-06-04 03:17:40,4.9333,-52.3333,81.09,1,100,1.01
275,Salalah,OM,2022-06-04 03:17:05,17.0151,54.0924,84.29,79,20,0.0
276,Pimentel,PE,2022-06-04 03:21:55,-6.8367,-79.9342,64.44,87,100,11.72
277,Mar Del Plata,AR,2022-06-04 03:19:11,-38.0023,-57.5575,47.08,69,0,5.75
278,Matagami,CA,2022-06-04 03:21:56,49.7502,-77.6328,48.31,81,20,0.0
279,Goderich,CA,2022-06-04 03:21:56,43.7501,-81.7165,54.91,71,0,11.5
280,Tres Arroyos,AR,2022-06-04 03:21:57,-38.3739,-60.2798,43.75,62,100,12.1
281,Horconcitos,PA,2022-06-04 03:21:58,8.4682,-81.8007,68.86,98,100,2.17
282,Nhulunbuy,AU,2022-06-04 03:21:58,-12.2333,136.7667,86.61,66,75,16.11
283,Emerald,AU,2022-06-04 03:21:59,-23.5333,148.1667,73.35,64,15,9.24
284,Dunedin,NZ,2022-06-04 03:22:00,-45.8742,170.5036,52.81,59,17,5.99
285,Araouane,ML,2022-06-04 03:22:00,18.9048,-3.5265,87.58,31,48,11.21
286,Luderitz,NA,2022-06-04 03:22:01,-26.6481,15.1594,64.72,30,46,7.38
287,Iskateley,RU,2022-06-04 03:22:01,67.6803,53.1512,42.35,41,4,12.62
288,Loandjili,CG,2022-06-04 03:22:02,-4.7561,11.8578,75.31,94,75,2.3
289,Gat,IL,2022-06-04 03:22:03,31.61,34.7642,74.39,70,0,1.99
290,Poum,NC,2022-06-04 03:21:21,-20.2333,164.0167,76.57,70,97,17.43
291,Yerbogachen,RU,2022-06-04 03:22:03,61.2767,108.0108,60.33,42,7,12.1
292,Kodinsk,RU,2022-06-04 03:22:05,58.6881,99.1844,46.98,42,56,10.98
293,Guanica,PR,2022-06-04 03:22:05,17.9716,-66.908,82.06,81,68,9.91
294,Sitka,US,2022-06-04 03:22:06,57.0531,-135.33,60.69,63,40,5.75
