City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
Siguiri,GN,87.42,scattered clouds,11.6667,-9.5,
Puerto Ayacucho,VE,75.58,light rain,5.6639,-67.6236,Posada Turistica Manapiare
Hobyo,SO,78.26,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
Half Moon Bay,US,79.99,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
Inirida,CO,77.72,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
Gainesville,US,88.7,light rain,29.6516,-82.3248,Wyndham Garden Gainesville
Cockburn Town,TC,84.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
Anloga,GH,80.98,broken clouds,5.7947,0.8973,Pin Drop Hotel
Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
Natal,BR,79.02,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
Vaitape,PF,79.66,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
San Jose,US,82.78,broken clouds,37.3394,-121.895,The Westin San Jose
Gunjur,GM,80.67,few clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
Ocampo,MX,80.19,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
Indian Head,US,81.48,scattered clouds,38.6001,-77.1622,"Red Carpet Inn Indian Head, MD"
Aripuana,BR,81.95,broken clouds,-9.1667,-60.6333,
Kloulklubed,PW,82.56,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
Wanning,CN,80.26,overcast clouds,18.8003,110.3967,Paradise Hotel
Makakilo City,US,82.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
Sur,OM,85.71,clear sky,22.5667,59.5289,Sur Plaza Hotel
Westport,US,77.38,broken clouds,41.1415,-73.3579,The Westport Inn
Lusambo,CD,75.72,overcast clouds,-4.9667,23.45,
Kalamnuri,IN,89.92,overcast clouds,19.6667,77.3333,खंडोबा राव शेषराव गडदे
Fayaoue,NC,76.05,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
Mitsamiouli,KM,78.1,light rain,-11.3847,43.2844,Foyer ADM
Lompoc,US,89.56,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
Magdalena,PH,81.36,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
Nioro,GM,82.62,scattered clouds,13.35,-15.75,
Hun,LY,80.64,clear sky,29.1268,15.9477,Alrwasi Hotel
Sao Gabriel Da Cachoeira,BR,87.6,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
Nizhniy Baskunchak,RU,78.69,overcast clouds,48.2198,46.8311,Arman hotel
Sangueya,GN,78.01,overcast clouds,10.7,-14.3667,
Sumenep,ID,80.17,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
Lufilufi,WS,87.58,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
Dhanwar,IN,84.94,broken clouds,24.4167,85.9833,K G N HOTEL
Tulum,MX,84.63,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
Hoa Binh,VN,79.56,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
Gushikawa,JP,80.19,overcast clouds,26.3544,127.8686,Kirari Guest House
Marzuq,YE,75.25,scattered clouds,14.4,46.4667,
Jadu,LY,77.7,clear sky,31.953,12.0261,امياس للصرافة
Champerico,GT,86.54,light rain,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
La Palma,US,89.49,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
Majene,ID,76.12,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
Sainte-Maxime,FR,82.42,clear sky,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
Itoman,JP,80.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
Kulhudhuffushi,MV,82.4,overcast clouds,6.6221,73.07,Haajy Guest House 1
Ravar,IR,76.08,clear sky,31.2656,56.8055,computertik
Puerto Escondido,MX,83.17,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
Tougue,GN,76.35,light rain,11.4667,-11.6,
Ahuimanu,US,83.75,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
Fiumicino,IT,80.02,clear sky,41.7675,12.2291,Al Porticciolo Hotel
Salinopolis,BR,78.85,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
Daru,PG,76.82,overcast clouds,-9.0763,143.2092,Daru Lodge
Winslow,US,89.91,scattered clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
